Time(s),Ventricular,Atrial
3.4351727962493896,62175,16351
3.4457459449768066,60512,60511
3.4564316272735596,60511,16351
3.466768264770508,62880,62879
3.4772326946258545,62879,16351
3.487743616104126,61216,61215
3.4986069202423096,61215,16351
3.509181499481201,61536,61535
3.519846200942993,61535,16351
3.5294766426086426,59680,59679
3.5412817001342773,59679,16351
3.5503041744232178,63200,63199
3.5608749389648438,63199,16351
3.5714950561523438,60512,60511
3.581698417663574,60511,16351
3.5920729637145996,61408,61407
3.6029019355773926,61407,16351
3.613237142562866,60896,60895
3.623690128326416,60895,16351
3.633746862411499,61344,61343
3.644542932510376,61343,16351
3.6547374725341797,60512,60511
3.6646838188171387,60511,16351
3.6747894287109375,61856,61855
3.684849977493286,61855,16351
3.6952311992645264,60640,60639
3.7057204246520996,60639,16351
3.7160449028015137,63200,63199
3.726560592651367,63199,16351
3.73687481880188,61984,61983
3.747563362121582,61983,16351
3.75821852684021,61536,61535
3.768695116043091,61535,16351
3.779151678085327,61216,61215
3.789670944213867,61215,16351
3.8000106811523438,62560,62559
3.809468984603882,62559,16351
3.8197836875915527,61408,61407
3.8301451206207275,61407,16351
3.8408117294311523,62752,62751
3.854764699935913,62751,16351
3.861482620239258,62432,62431
3.8718574047088623,62431,16351
3.882953405380249,62048,62047
3.898148775100708,62047,16351
3.911696195602417,60128,60127
3.927824020385742,60127,16351
3.943474531173706,62112,62111
3.9540023803710938,62111,16351
3.964343547821045,61024,61023
3.9747440814971924,61023,16351
3.9852206707000732,62688,62687
3.9957680702209473,62687,16351
4.00677490234375,61664,61663
4.017200708389282,61663,16351
4.0277018547058105,62816,62815
4.0381247997283936,62815,16351
4.0487587451934814,59872,59871
4.059324502944946,59871,16351
4.071027755737305,63136,63135
4.079470157623291,63135,16351
4.089523792266846,60512,60511
4.100175380706787,60511,16351
4.1103596687316895,61856,61855
4.12076210975647,61855,16351
4.131300449371338,60448,60447
4.142343282699585,60447,16351
4.152764081954956,63520,63519
4.16380763053894,63519,16351
4.173187971115112,61728,61727
4.184589862823486,61727,16351
4.194404363632202,62496,62495
4.204977035522461,62495,16351
4.21559476852417,59872,59871
4.2262678146362305,59871,16351
4.236729860305786,62240,62239
4.247241497039795,62239,16351
4.257293462753296,60448,60447
4.267550468444824,60447,16351
4.278188228607178,61984,61983
4.288735389709473,61983,16351
4.2992777824401855,60448,60447
4.312739849090576,60447,16351
4.319469451904297,62688,62687
4.32947039604187,62687,16351
4.340197563171387,60640,60639
4.349833726882935,60639,16351
4.360225677490234,62176,62175
4.370617389678955,62175,16351
4.381204605102539,61728,61727
4.391311883926392,61727,16351
4.402164697647095,62816,62815
4.413801908493042,62815,16351
4.427845001220703,61216,61215
4.444026231765747,61215,16351
4.454606533050537,62048,62047
4.465165615081787,62047,16351
4.475818395614624,60960,60959
4.486253499984741,60959,16351
4.497137546539307,63072,63071
4.507250070571899,63071,16351
4.517665863037109,60128,60127
4.528223752975464,60127,16351
4.5400025844573975,63584,63583
4.551084995269775,63583,16351
4.559478044509888,61472,61471
4.569473028182983,61471,16351
4.57986307144165,60832,60831
4.590528964996338,60831,16351
4.601186990737915,60192,60191
4.6116814613342285,60191,16351
4.624211549758911,63200,63199
4.632520914077759,63199,16351
4.642872095108032,61664,61663
4.653258800506592,61663,16351
4.663479804992676,61792,61791
4.673572540283203,61791,16351
4.6839330196380615,60576,60575
4.693971872329712,60575,16351
4.704509019851685,61728,61727
4.714543104171753,61727,16351
4.725057363510132,61344,61343
4.735317707061768,61343,16351
4.745380163192749,62112,62111
4.755490303039551,62111,16351
4.765828609466553,61728,61727
4.776384592056274,61727,16351
4.78709864616394,62240,62239
4.797748565673828,62239,16351
4.808299541473389,61024,61023
4.818723201751709,61023,16351
4.829054355621338,62240,62239
4.839910268783569,62239,16351
4.85002875328064,60576,60575
4.859483242034912,60575,16351
4.869481325149536,61408,61407
4.879482746124268,61407,16351
4.889886140823364,60448,60447
4.921144962310791,60447,16351
4.951457738876343,63264,63263
4.957275390625,63263,16351
4.97277307510376,60768,60767
4.983344078063965,60767,16351
4.9932215213775635,62048,62047
5.003915548324585,62047,16351
5.014341115951538,61728,61727
5.024708986282349,61727,16351
5.0353124141693115,62176,62175
5.046159267425537,62175,16351
5.056769847869873,61984,61983
5.067231893539429,61983,16351
5.077802658081055,62752,62751
5.088513374328613,62751,16351
5.099159240722656,62112,62111
5.109405994415283,62111,16351
5.119457960128784,61792,61791
5.12947154045105,61791,16351
5.139799356460571,61024,61023
5.150042772293091,61023,16351
5.159802198410034,63072,63071
5.170049667358398,63071,16351
5.180691957473755,61152,61151
5.1911842823028564,61151,16351
5.20217490196228,62432,62431
5.212888479232788,62431,16351
5.223374843597412,61472,61471
5.2336952686309814,61471,16351
5.24430775642395,62368,62367
5.255114555358887,62367,16351
5.26569938659668,61216,61215
5.276275396347046,61215,16351
5.286692380905151,62240,62239
5.297202110290527,62239,16351
5.307703256607056,60064,60063
5.318254709243774,60063,16351
5.32868766784668,63392,63391
5.3391759395599365,63391,16351
5.349561929702759,60384,60383
5.359475135803223,60383,16351
5.369465351104736,62560,62559
5.379472494125366,62559,16351
5.389796018600464,61536,61535
5.399850368499756,61535,16351
5.409463882446289,63008,63007
5.41986083984375,63007,16351
5.430071830749512,61856,61855
5.440680742263794,61855,16351
5.451190948486328,61792,61791
5.461616277694702,61791,16351
